,cause_0,effect_0,cause_1,effect_1,label
830,The car radio shut off.,The driver slammed on his brakes.,A deer appeared on the road.,The driver slammed on his brakes.,1
831,The car radio shut off.,Everybody in the car stopped singing along.,A deer appeared on the road.,Everybody in the car stopped singing along.,0
832,I turned the key in the lock.,The lock opened.,I made a duplicate of the key.,The lock opened.,0
833,I turned the key in the lock.,I was less worried about losing the key.,I made a duplicate of the key.,I was less worried about losing the key.,1
834,I was preparing to clean the bathroom.,I put rubber gloves on.,I was preparing to wash my hands.,I put rubber gloves on.,0
835,I was preparing to clean the bathroom.,I took off the rubber gloves.,I was preparing to wash my hands.,I took off the rubber gloves.,1
836,Their habitat was destroyed.,The animal species became endangered.,Their predators went extinct.,The animal species became endangered.,0
837,Their habitat was destroyed.,The animal species became populous.,Their predators went extinct.,The animal species became populous.,1
838,The woman got her hair cut.,The man perceived that the woman looked different.,The woman wore a bracelet.,The man perceived that the woman looked different.,0
839,The woman got her hair cut.,The man noticed that the woman likes jewelry.,The woman wore a bracelet.,The man noticed that the woman likes jewelry.,1
840,The student forgot to do her assignment.,She made up an excuse to tell the teacher.,The student forgot to do her assignment.,The teacher promoted her to the next grade.,0
841,The student got full points on all exams.,She made up an excuse to tell the teacher.,The student got full points on all exams.,The teacher promoted her to the next grade.,1
842,The cat lounged on the couch.,The dog barked.,A knock sounded at the door.,The dog barked.,1
843,The cat lounged on the couch.,The visitor used the old door knocker instead of the door bell.,A knock sounded at the door.,The visitor used the old door knocker instead of the door bell.,0
844,Plans were announced to replace a local park with a shopping mall.,Environmentalists started a petition.,Plans were announced to replace a local park with a shopping mall.,Environmentalists produced a documentary.,0
845,An old coal mine was turned into a beautiful park.,Environmentalists started a petition.,An old coal mine was turned into a beautiful park.,Environmentalists produced a documentary.,1
846,He insulted her.,The woman asked the man to leave.,He thanked her.,The woman asked the man to leave.,0
847,He thanked her.,The woman made the man a compliment.,He insulted her.,The woman made the man a compliment.,0
848,The tree branch landed in the river.,The river's current became stronger.,The tree branch landed in the river.,The branch moved downstream.,1
849,It rained a lot in the area around the river.,The river's current became stronger.,It rained a lot in the area around the river.,The branch moved downstream.,0
850,The teacher assigned homework to the students.,The students passed notes.,The teacher assigned homework to the students.,The students groaned.,1
851,The teacher turned his back to the class.,The students passed notes.,The teacher turned his back to the class.,The students groaned.,0
852,The seasons changed from summer to autumn.,Leaves fell from the trees.,The seasons changed from summer to autumn.,People evacuated their homes.,0
853,There was a big flood last autumn.,Leaves fell from the trees.,There was a big flood last autumn.,People evacuated their homes.,1
854,The politician was convicted of fraud.,He campaigned for re-election.,The politician was convicted of fraud.,He was removed from office.,1
855,The politician was very popular.,He was removed from office.,The politician was very popular.,He campaigned for re-election.,1
856,I pushed the wagon.,The wagon wheels spun forward.,I pushed the wagon.,The objects in the wagon fell out.,0
857,I opened the door of the wagon.,The objects in the wagon fell out.,I opened the door of the wagon.,The wagon wheels spun forward.,0
858,The lobbyist persuaded the legislature to support the bill.,The president vetoed the bill.,The lobbyist persuaded the legislature to support the bill.,The legislature passed the bill.,1
859,The lobbyist persuaded the president that the bill was bad for business.,The president vetoed the bill.,The lobbyist persuaded the president that the bill was bad for business.,The legislature passed the bill.,0
860,My closet was messy.,I decorated it.,My closet was messy.,I organized it.,1
861,My room looked boring.,I decorated it.,My room looked boring.,I organized it.,0
862,I stayed up late.,I was tired in the morning.,I stayed up late.,I had vivid dreams that night.,0
863,I saw a scary movie.,I was tired in the morning.,I saw a scary movie.,I had vivid dreams that night.,1
864,He sewed the hole in his pocket.,The man's pocket jingled as he walked.,His pocket was filled with coins.,The man's pocket jingled as he walked.,1
865,His pocket was filled with coins.,The man did not lose coins in his pocket anymore.,He sewed the hole in his pocket.,The man did not lose coins in his pocket anymore.,1
866,The student's phone rang.,Everyone in the class turned to stare at the student.,The student took notes.,Everyone in the class turned to stare at the student.,0
867,The student's phone rang.,The teacher covered a lot of material.,The student took notes.,The teacher covered a lot of material.,1
868,A fly bit the horse.,The horse bucked.,The rider stroked the horse.,The horse bucked.,0
869,The rider stroked the horse.,The horse calmed down.,A fly bit the horse.,The horse calmed down.,0
870,The jewelry thieves were caught.,The stolen jewelry was returned to its owners.,The jewelry thieves were caught.,The cost of the stolen jewelry was calculated.,0
871,The jewelry thieves were never caught.,The stolen jewelry was returned to its owners.,The jewelry thieves were never caught.,The cost of the stolen jewelry was calculated.,1
872,Political violence broke out in the nation.,Many citizens took refuge in other territories.,Political violence broke out in the nation.,Many citizens relocated to the capitol.,0
873,Political violence finally ended in the nation.,Many citizens relocated to the capitol.,Political violence finally ended in the nation.,Many citizens took refuge in other territories.,0
874,She committed assault.,The woman was arrested.,She checked into rehab.,The woman was arrested.,0
875,She checked into rehab.,The woman was an alcoholic.,She committed assault.,The woman was an alcoholic.,0
876,The woman read the newspaper.,She casted a vote in the election.,The woman read the newspaper.,She discovered the outcome of the election.,1
877,The woman went to the polling station.,She casted a vote in the election.,The woman went to the polling station.,She discovered the outcome of the election.,0
878,The sick child coughed on his friend.,His friend got sick.,The sick child coughed on his friend.,His friend sneezed.,0
879,The child sprinkled pepper in his friend's face.,His friend sneezed.,The child sprinkled pepper in his friend's face.,His friend got sick.,0
880,The woman planned to buy a condo.,The woman contacted the real estate agent.,The woman needed to clean her house.,The woman contacted the real estate agent.,0
881,The woman needed to clean her house.,The woman contacted the maid service.,The woman planned to buy a condo.,The woman contacted the maid service.,0
882,I lit the candle.,Wax dripped off the candle.,I lit the candle.,The wax on the candle hardened.,0
883,The candle burned out some time ago.,The wax on the candle hardened.,The candle burned out some time ago.,Wax dripped off the candle.,0
884,I spent the day at the pool.,I sprained my ankle.,I spent the day at the pool.,My face got sunburned.,1
885,I slipped at the pool.,My face got sunburned.,I slipped at the pool.,I sprained my ankle.,1
886,He parallel parked on the street.,The man received a parking ticket.,The parking meter expired.,The man received a parking ticket.,1
887,The parking meter expired.,The man saw an empty parking spot.,He parallel parked on the street.,The man saw an empty parking spot.,1
888,The woman became famous.,Her family avoided her.,The woman became famous.,Photographers followed her.,1
889,The woman became senile.,Photographers followed her.,The woman became senile.,Her family avoided her.,1
890,I went to a museum.,My ears were ringing.,I went to a concert.,My ears were ringing.,1
891,I went to a concert.,My mind was full of paintings.,I went to a museum.,My mind was full of paintings.,1
892,I was swamped with work.,I tidied up my house.,I was expecting company.,I tidied up my house.,1
893,I was expecting company.,I did not clean up my house.,I was swamped with work.,I did not clean up my house.,1
894,The airline mishandled my luggage.,They cancelled my flight.,The airline mishandled my luggage.,They offered me compensation.,1
895,The airline went bankrupt.,They cancelled my flight.,The airline went bankrupt.,They offered me compensation.,0
896,The computer was expensive to fix.,I bought a new one.,The computer was expensive to fix.,I got it repaired.,0
897,The computer was cheap to fix.,I got it repaired.,The computer was cheap to fix.,I bought a new one.,0
898,The woman was in a bad mood.,She engaged in small talk with her friend.,The woman was in a bad mood.,She told her friend to leave her alone.,1
899,The woman was in a good mood.,She told her friend to leave her alone.,The woman was in a good mood.,She engaged in small talk with her friend.,1
